title,tmdb_id,imdb_id,duration,genres,img,popularity,vote_average,vote_count,year_released
b'ariel',b'2',b'tt0094675',b'69',"b""['drama', 'crime']""",b'/gzcjzon4l0zj5haxsmbxos6cl0u.jpg',b'4.676',b'7.2',b'53',b'1988-10-21'
b'shadows in paradise',b'3',b'tt0092149',b'76',"b""['drama', 'comedy']""",b'/7ad4iku8cybub08g9yau7thjik5.jpg',b'2.624',b'7.3',b'43',b'1986-10-16'
b'four rooms',b'5',b'tt0113101',b'98',"b""['crime', 'comedy']""",b'/eqs5hh9rxrk1m4xhsiz1w11ngqb.jpg',b'12.646',b'6.5',b'806',b'1995-12-09'
b'judgment night',b'6',b'tt0107286',b'110',"b""['action', 'thriller', 'crime']""",b'/lnxmgurp6h1nd53gkfh4wdzt6rz.jpg',b'7.114',b'6.5',b'99',b'1993-10-15'
b'life in loops (a megacities rmx)',b'8',b'tt0825671',b'80',"b""['documentary']""",b'/8yyijoaxwzd3fzmdmjrfiapod4l.jpg',b'0.75',b'6.8',b'5',b'2006-01-01'
b'sunday in august',b'9',b'tt0425473',b'15',"b""['drama']""",b'none',b'0.623',b'5.3',b'2',b'2004-09-02'
b'star wars',b'11',b'tt0076759',b'121',"b""['adventure', 'action', 'science fiction']""",b'/bttdmkgivoi0ffip1spuzi2oqg6.jpg',b'43.807',b'8.2',b'9244',b'1977-05-25'
b'finding nemo',b'12',b'tt0266543',b'100',"b""['animation', 'family']""",b'/sypwyeeqztqixjiuaifi7d0tyey.jpg',b'22.871',b'7.7',b'8892',b'2003-05-30'
b'forrest gump',b'13',b'tt0109830',b'142',"b""['comedy', 'drama', 'romance']""",b'/ye5d3buhe8hcnkmujoo1qdoognz.jpg',b'25.683',b'8.3',b'11274',b'1994-07-06'
b'american beauty',b'14',b'tt0169547',b'122',"b""['drama']""",b'/or1mp8bziajqwyxpdpx724ydkar.jpg',b'15.298',b'8.0',b'4992',b'1999-09-15'
b'citizen kane',b'15',b'tt0033467',b'119',"b""['mystery', 'drama']""",b'/n8wffsq5vtm6dm8vdgxb6olv2gy.jpg',b'12.781',b'8.1',b'1792',b'1941-04-30'
b'dancer in the dark',b'16',b'tt0168629',b'140',"b""['drama', 'crime', 'music']""",b'/7xizdtz4yj4iym2ud4f6efexe5h.jpg',b'6.749',b'7.8',b'572',b'2000-05-17'
b'the dark',b'17',b'tt0411267',b'87',"b""['horror', 'thriller', 'mystery']""",b'/8fzjzqhlxl1afshhse5y3mguco4.jpg',b'5.506',b'5.6',b'101',b'2005-09-28'
b'the fifth element',b'18',b'tt0119116',b'126',"b""['adventure', 'fantasy', 'action', 'thriller', 'science fiction']""",b'/zafa1nrzenfgrtv5ovxknizo78o.jpg',b'21.696',b'7.4',b'5063',b'1997-05-07'
b'metropolis',b'19',b'tt0017136',b'153',"b""['drama', 'science fiction']""",b'/qriaeuuwdmlgethk3asax68mg05.jpg',b'10.919',b'8.2',b'904',b'1927-01-10'
b'my life without me',b'20',b'tt0314412',b'106',"b""['drama', 'romance']""",b'/vvj92vbfubzjqzlvbipvvljdp78.jpg',b'5.657',b'7.0',b'122',b'2003-03-07'
b'the endless summer',b'21',b'tt0060371',b'91',"b""['documentary']""",b'/jqszqpxemjcvvn5afggak7qqodr.jpg',b'2.485',b'7.6',b'32',b'1966-06-15'
b'pirates of the caribbean: the curse of the black pearl',b'22',b'tt0325980',b'143',"b""['adventure', 'fantasy', 'action']""",b'/tkt9xr1knx5r9rcebaskck44si2.jpg',b'42.365',b'7.6',b'9738',b'2003-07-09'
b'kill bill: vol. 1',b'24',b'tt0266697',b'111',"b""['action', 'crime']""",b'/v7tax8kxmxs5yffgr41guudncnb.jpg',b'17.38',b'7.9',b'7152',b'2003-10-10'
b'jarhead',b'25',b'tt0418763',b'123',"b""['drama', 'war']""",b'/ieynxqusftakwo1svsa39ap07of.jpg',b'10.823',b'6.6',b'1038',b'2005-11-04'
b'walk on water',b'26',b'tt0352994',b'103',"b""['drama']""",b'/5bh0k5pauaqywpr4nl9nkyckc6o.jpg',b'2.24',b'6.9',b'30',b'2004-02-05'
b'9 songs',b'27',b'tt0411705',b'66',"b""['drama', 'music', 'romance']""",b'/91o7z0vo7minwd5xd2boivwbqsb.jpg',b'9.771',b'4.9',b'145',b'2004-07-16'
b'apocalypse now',b'28',b'tt0078788',b'147',"b""['drama', 'war']""",b'/jcvj2xcvwu9wh0hzaxcs103s8nn.jpg',b'12.303',b'8.2',b'2987',b'1979-08-15'
b'magnetic rose',b'30',b'tt1530535',b'44',"b""['animation', 'science fiction']""",b'/1a59xqud5rzeqrgjmfi4qu1zvcq.jpg',b'1.63',b'7.0',b'19',b'1995-12-23'
b'stink bomb',b'31',b'tt6266826',b'40',"b""['action', 'animation', 'comedy']""",b'/1xdmue5txar8ouzbvkfcuiil1vu.jpg',b'0.983',b'5.8',b'6',b'1995-12-23'
b'cannon fodder',b'32',b'tt6264824',b'21',"b""['animation', 'history']""",b'/ojdlkttdvvpgago2jwbbxgq5mmn.jpg',b'1.455',b'6.2',b'8',b'1995-12-23'
b'the simpsons movie',b'35',b'tt0462538',b'87',"b""['animation', 'comedy', 'family']""",b'/ecytnerivur3rt47nwfkgpxd9qs.jpg',b'15.044',b'6.9',b'3494',b'2007-07-25'
b'eternal sunshine of the spotless mind',b'38',b'tt0338013',b'108',"b""['science fiction', 'drama', 'romance']""",b'/7y3eyvtsgjxpydtsnumclimdkrv.jpg',b'14.477',b'8.0',b'5451',b'2004-03-19'
b'amores perros',b'55',b'tt0245712',b'154',"b""['drama', 'thriller']""",b'/8gexmizw1tdnbfoacfpimknikmm.jpg',b'8.339',b'7.7',b'737',b'2000-06-16'
"b""pirates of the caribbean: dead man's chest""",b'58',b'tt0383574',b'151',"b""['adventure', 'fantasy', 'action']""",b'/wafr5rvkaq9dzot3nquivb1fipu.jpg',b'35.098',b'7.1',b'7368',b'2006-06-20'
b'a history of violence',b'59',b'tt0399146',b'96',"b""['drama', 'thriller', 'crime']""",b'/mz1qchxxtujm2aqodw3iipwydo3.jpg',b'9.144',b'7.1',b'1154',b'2005-09-23'
b'2001: a space odyssey',b'62',b'tt0062622',b'149',"b""['science fiction', 'mystery', 'adventure']""",b'/90t7b2lirl07ndyqbmsm09yqveh.jpg',b'21.012',b'8.0',b'4397',b'1968-04-09'
